StationID,StationName,DisplayName,Latitude,Longitude,Elevation,City,stateDesc,CountryDesc,ZipCode
6442,KRHP,Andrews-Murphy Airport,35.2000,-83.8700,518,Coalville,North Carolina,,28901
27668,YSSY,Sydney Airport - SE of Sydney,-33.9465,151.1731,20,Sydney,(null),Australia,
27669,YMML,Melbourne Tullamarine Airport -  NW of Tullamarine,-37.6655,144.8321,390,Tullamarine,(null),Australia,
27670,YBBN,Brisbane International Airport - NE of Brisbane,-27.3917,153.1292,16,Brisbane,(null),Australia,
27671,YPAD,Adelaide Airport - SW of Adelaide,-34.9524,138.5204,20,Adelaide,(null),Australia,
27672,YPDN,Darwin International Airport - NE of Darwin,-12.4240,130.8925,98,Darwin,(null),Australia,
27673,YBCS,Cairns Airport - NW of Cairns,-16.8736,145.7458,10,Cairns,(null),Australia,
27674,YBAS,Alice Springs Airport- SE of Alice Springs,-23.7951,133.8890,1795,Alice Springs,(null),Australia,
27675,YPLM,Learmouth Airport - SE of Exmouth,-22.2406,114.0967,16,Exmouth,(null),Australia,
27676,YBTL,Townsville International Airport - NW of Townsville,-19.2483,146.7661,20,Townsville,(null),Australia,
27677,YPTN,RAAF Base Tindal / Katherine Tindal - SE of Katherine,-14.5229,132.3826,443,Katherine,(null),Australia,
27678,YPKU,Kununurra Airport - SW of Kununurra,-15.7814,128.7100,144,Kununurra,(null),Australia,
27679,YSCB,Canberra International Airport - NE of Canberra,-35.3088,149.2003,1896,Canbarra,(null),Australia,
27680,YBCG,Gold Coast Airport,-28.1681,153.5053,20,Coolangatta,(null),Australia,
27681,YMAV,Avalon Airport - NE of Lara,-38.0286,144.4783,26,Avalon,(null),Australia,
27682,YBRK,Rockhampton Airport - NW of Rockhampton,-23.3753,150.4775,49,Rockhampton,(null),Australia,
27683,YPKG,Kalgoorlie-Boulder Airport - SE of Kalgoorlie,-30.7847,121.4533,1204,Kalgoorlie,(null),Australia,
27684,YPPD,Port Hedland International Airport - SE of Port Hedland,-20.3725,118.6317,20,Port Hedland,(null),Australia,
27685,YBRM,Broome International Airport - NE of Broome,-17.9475,122.2353,30,Broome,(null),Australia,
27686,YSNF,Norfolk Island Airport,-29.0389,167.9408,384,Kingston,(null),Australia,
27688,YWLM,NE of Newcastle - Newcastle Airport (Williamtown),-32.7950,151.8344,31, Newcastle,(null),Australia,
27689,YMLT,Launceston Airport - SE of Launceston Tasmania,-41.5453,147.2142,561,Launceston,(null),Australia,
27690,YMHB,NE of Hobart - Tasmania,-42.8339,147.5033,89,Hobart,(null),Australia,
27691,YPGV,Gove Airport - Yirrkala NT - SW of Yirrkala,-12.2733,136.8233,194,Yirrkala,(null),Australia,
27692,YAMB,Ipswitch/Amberley Ab Airport - SW of Ipswich,-27.6297,152.7111,91,Ipswich,(null),Australia,
27693,YBMA,Mount Isa Airport,-20.6778,139.4875,1119,Mount Isa,(null),Australia,
27571,YPPH,Perth Airport - NE of Perth,-31.9275,115.9761,66,Perth,(null),Australia,
27804,YSDU,Dubbo City Regional Airport - NW of Dubbo,-32.2167,148.5747,902,Dubbo,(null),Australia,
27877,YPEA,Pearce (Military) - NE of Wanneroo,-31.6669,116.0189,148,Pearce,(null),Australia,
27879,YTNK,Tennant Creek Airport,-19.6344,134.1833,1236,Tennant Creek,(null),Australia,
27935,YWHA,Whyalla Airport,-33.0539,137.5206,41,Whyalla,(null),Australia,
27969,YSWG,Wagga Wagga Airport - SE of Wagga Wagga,-35.1583,147.4572,699,Wagga Wagga,(null),Australia,
28119,YTRE,Taree Airport - NE of Taree,-31.8886,152.5139,39,Taree,(null),Australia,
28123,YPCC,Cocos (Keeling) Islands Airport,-12.1892,96.8344,10,West Island,(null),Australia,
28125,YSTW,Tamworth Regional Airport - NW of Tamworth,-31.0839,150.8467,1345,Tamworth,(null),Australia,
28227,YFRT,Forrest Airport,-30.8452,128.1090,525,Forest,(null),Australia,
28379,YTEF,Telfer Airport - SE of Telfer,-21.7150,122.2286,974,Telfer,(null),Australia,
28386,YBHM,Great Barrier Reef Airport,-20.3581,148.9517,16,Hamilton Island,(null),Australia,
28402,YCIN,RAAF Base Curtin - SE of Durby,-17.5814,123.8283,300,Derby,(null),Australia,
28195,YPXM,Christmas Island Airport,-10.4506,105.6903,860,Christmas Island,(null),Australia,
30818,YPWR,Woomera Ab Airport - NW of Woomera,-31.1558,136.8054,548,Woomera,(null),Australia,
42226,YGEL,Geraldton Airport - SE of Geraldton,-28.8044,114.6989,121,Geraldon,(null),Australia,
42227,YHID,Horn Island Airport,-10.5844,142.2900,43,Horn Island,(null),Australia,
42228,YPJT,Perth Jandakot Airport - SE of Perth,-32.1011,115.8794,99,Perth,(null),Australia,
43012,YCFS,Compressor Station 4 - SE of Coffs Harbour,-30.3108,153.1186,537,Coffs Harbour,(null),Australia,
58182,PPDD,Pandie Pandie Airport - SE of Alice Springs,-26.1166,139.3999,0,Pandie Pandie,(null),Australia,
58939,YBCV,Charleville Airport,-26.4139,146.2558,994,Charleville,(null),Australia,
58940,YBMK,Mackay Airport - SE of Mackey,-21.1172,149.2169,98,Mackey,(null),Australia,
58942,YBPN,Whitsunday Coast Airport - SW of Proserpine,-20.4925,148.5550,66,Proserpine,(null),Australia,
58943,YMAY,Albury Airport - NE of Albury,-36.0686,146.9633,541,Albury,(null),Australia,
58945,YBWP,Weipa Airport - SE of Weipa,-12.6167,142.0869,128,Weipa,(null),Australia,
58862,SBBS,ST. Helena Akrport - Brasillia,-15.8627,-47.9127,-1265,Brasillia,(null),Brazil,
59501,SBCD,Carlos Alberto da Costa Neves Airport,-26.7897,-50.9394,3376,Caçador,(null),Brazil,
60712,K110,Cabo Frio Airport - SW of Cabo Frio,-22.9217,-42.0742,23,Cabo Frio,(null),Brazil,
55216,SBUY,Porto Ucucu,-4.8840,-113.6000,0,Porto Ucucu,(null),Brazil,
55217,SBTC,NE of Canandatuba,-15.3552,-38.9990,20,Camandatuba,(null),Brazil,
55219,SBAX,Araxa Airport - NW of Araxa,-19.5632,-46.9604,3274,Araxa,(null),Brazil,
55221,SBSR,São José do Rio Preto Airport,-20.8166,-49.4065,1781, São José do Rio Preto ,(null),Brazil,
55222,SBJU,Orlando Bezerra de Menezes Airport,-7.2190,-39.2701,1342,Juareziro De Norte,(null),Brazil,
55224,SBIP,Usiminas/paraiso - NE of Ipatinga,-19.4707,-42.4876,784,Ipatinga,(null),Brazil,
55226,SBLB,Plataforma P-25 Airport - SE of Campos,-22.1094,-39.9169,33,Plataforma P-25 Airport,(null),Brazil,
55266,SBLE,Lencois Chapada Airport - NE of Lencois,-12.4833,-41.2730,1676,Chapada Diamantina,(null),Brazil,
56123,CWIY, St Leonard Airport,47.1578,-67.8319,804,St. Leonard,(null),Canada,
56124,CWHP,Heath Point Airport,49.0666,-61.7000,13,Heath Point,(null),Canada,
629,CWCQ,Miramichi Airport - SE of Newcastle,47.0077,-65.4491,108,Newcastle,(null),Canada,
644,CWDL,Dease Lake Airport - SW of Dease Lake,58.4222,-130.0322,2677,Dease Lake,(null),Canada,
780,CWKK,Katatota Island - NW of Beardmore,49.7200,-88.3400,853,Katatota Island,(null),Canada,
799,CWLO,Canadian Forces Base Shilo - SE of Chater  ,49.7900,-99.6500,1223,Shilo,(null),Canada,
854,CWOI,Ivvavik National Park - SW of Herschel,69.1644,-140.1500,801,Herschel,(null),Canada,
861,CWPB,Georgian Bay Islands NP - Beausoliel Island - SW of Honey Harbour,44.8500,-79.8700,600, Honey Harbour,(null),Canada,
862,CWPC,SW of Port Colborne,42.8676,-79.2531,604,Port Colborne,(null),Canada,
864,CWPE,Point Lepreau - SW of Dipper Harbour,45.0667,-66.4667,3,Dipper Harbour,(null),Canada,
932,CWSS,NE of St. Stephen,45.2106,-67.2528,85,St. Stephen,(null),Canada,
1019,CWXS,NW of Bas Caraquet,47.8022,-64.8333,16,Bas Caraquet,(null),Canada,
1085,CYAJ,Komakuk Beach Airport - NW of Hershel,69.5833,-140.1833,23,Herschel,(null),Canada,
1189,CYLU,NW of Kangiqsualujjuaq,58.7114,-65.9928,197,Kangiqsualujjuaq,(null),Canada,
1258,CYSJ,St. John Airport - NE of Saint John,45.3161,-65.8902,358,Saint John,(null),Canada,
1260,CYSL,Saint Leonard Airport -SE of St. Leonard,47.1575,-67.8347,793,St. Leonard,(null),Canada,
1311,CYXJ, North Peace  -  NW of Baldonnel,56.2467,-120.7371,2280,Fort St. John,(null),Canada,
1364,CZOC,SW of Old Crow,67.5705,-139.8300,824,Old Crow,(null),Canada,
1365,CZPC,Pincher Creek Airport - NW of Pincher Creek,49.5205,-113.9972,3903,Pincher Creek,Alberta,Canada,
1372,CZVL,Edmonton Villeneuve - NW of Edmonton,53.6675,-113.8544,2252,Edmonton,Alberta,Canada,
1374,CZWN,Wainwright CFB - SW of Wainwright,52.8306,-111.1006,2250,Wainwright,Alberta,Canada,
1343,CYZH,Slave Lake Airport - NW of Slave Lake,55.2930,-114.7772,1912,Slave Lake,Alberta,Canada,
1348,CYZU,Whitecourt Airport - NW of Whitecourt,54.1438,-115.7866,2567,Whitecourt,Alberta,Canada,
1357,CZED,Edmonton Stony Plain/Test,53.5455,-113.9183,2333,NW of Spruce Grove,Alberta,Canada,
1362,CZHP,High Prairie Airport - SE of High Prairie,55.3936,-116.4752,1974,High Prairie,Alberta,Canada,
1308,CYXD,Edmonton City Center Airport,53.5725,-113.5255,2200,Edmonton,Alberta,Canada,
1310,CYXH,Medicine Hat Airport - SW of Medicine Hat,50.0188,-110.7208,2352,Medicine Hat,Alberta,Canada,
1324,CYYC,Calgary International Airport - NE of Calgary ,51.1139,-114.0203,3556,Calgary,Alberta,Canada,
1256,CYSD,Suffield Airport,50.2719,-111.1933,2525,Suffield,Alberta,Canada,
1240,CYQU,Grande Prairie Airport - NW of Grande Prairie,55.1820,-118.8822,2195,Grande Prairie,Alberta,Canada,
1250,CYRM,Rocky Mountain House Airport - NE of Rocky Mountain House,52.4297,-114.9041,3244,Rocky Mountain House,Alberta,Canada,
1305,CYWV,Wainwright Airport - SW of Wainwright,52.7958,-110.8574,2230,Wainwright,Alberta,Canada,
1208,CYOD,Canadian Forces Base Cold Lake ,54.4072,-110.2783,1775,Medley,Alberta,Canada,
1209,CYOJ,High Level Airport,58.6213,-117.1647,1110,High Level,Alberta,Canada,
1216,CYPE,Peace River Airport - SW of Peace River,56.2269,-117.4472,1873,Peace River,Alberta,Canada,
1225,CYPY,Fort Chipewyan Airport - NE of Fort Chipewyan,58.7672,-111.1172,761,Fort Chipewyan,Alberta,Canada,
1230,CYQF,Red Deer Airport - SW of Red Deer,52.1786,-113.8931,2969,Red Deer,Alberta,Canada,
1235,CYQL,Lethbridge Airport,49.6302,-112.7997,3047,Lethbridge,Alberta,Canada,
1082,CXZU,Whitecourt Airport - NW of Whitecourt,54.1397,-115.7839,2575,Whitecourt,Alberta,Canada,
1074,CXSR,SW of Spirit River,55.6947,-119.2303,3330,Spirit River,Alberta,Canada,
1054,CXEC,Edmonton Municipal - NW of Edmonton,53.5731,-113.5167,2201,Edmonton,Alberta,Canada,
1055,CXEG,Edmonton Intl - SW of Edmonton,53.3097,-113.5797,2372,Edmonton,Alberta,Canada,
1068,CXMM,Fort McMurray Regional Airport,56.6511,-111.2233,1211,Fort McMurray,Alberta,Canada,
1029,CWYL,Yoho Park - SW of Stephen - Yoho National Park,51.4428,-116.3444,5299,Stephen,Alberta,Canada,
1039,CWZG,NE of Banff - Banff National Park,51.1933,-115.5522,4583,Banff,Alberta,Canada,
1101,CYBW,Springbank Airport - NW of Calgary,51.1031,-114.3744,3937,Calgary,Alberta,Canada,
1110,CYCP,NE of Blue River,52.1290,-119.2898,2241,Blue River,Alberta,Canada,
1113,CYCT,SE of Coronation,52.0750,-111.4453,2595,Coronation,Alberta,Canada,
1126,CYED,Edmonton Namao - NE of Edmonto,53.6666,-113.4663,2257,Edmonton,Alberta,Canada,
1127,CYEG,Edmonton International Airport - West of Nisku,53.3097,-113.5797,2372,Nisku,Alberta,Canada,
1131,CYET,Edson Airport - SW of Edson,53.5789,-116.4650,3035,Edson,Alberta,Canada,
934,CWSV,NE of Blue River,52.1292,-119.2894,2241,Blue River,Alberta,Canada,
935,CWSW,NW of Sparwood,49.7600,-114.8900,3734,Sparwood,Alberta,Canada,
913,CWRT,NE of Crowsnest,49.6275,-114.4819,4275,Crowsnest,Alberta,Canada,
915,CWRV,NE of Camrose,53.0347,-112.8142,2425,Camrose,Alberta,Canada,
918,CWRY,SE of Milk River,49.1353,-112.0500,3445,Milk River,Alberta,Canada,
922,CWSE,Edmonton/Stony Plain - NW of Stony Plain,53.5475,-114.1083,2513,Stony Plain,Alberta,Canada,
925,CWSH,Sousa Creek - SE of Habay,58.5833,-118.5000,1224,Habay,Alberta,Canada,
878,CWPY,NE of Fort Chipewyan,58.7667,-111.1333,761,Fort Chipewyan,Alberta,Canada,
887,CWQL,NE of Lethbridge,49.6951,-112.7674,3022,Lethbridge,Alberta,Canada,
892,CWQQ,Lacombe - SW of Lacombe,52.4489,-113.7558,2822,Lacombe,Alberta,Canada,
900,CWRD,Red Earth - NE of Atikameg,56.5400,-115.2700,1791,Atikameg,Alberta,Canada,
906,CWRM,Rocky House - NW of Rocky Mountain House,52.4400,-114.9300,3238,Rocky Mountain House,Alberta,Canada,
959,CWUN,NW of Vulcan,50.4000,-113.3883,3478,Vulcan,Alberta,Canada,
974,CWVI,NE of Vegreville,53.6200,-112.0400,2096,Vegreville,Alberta,Canada,
978,CWVO,SE of Vauxhall,50.0529,-112.1258,2556,Vauxhall,Alberta,Canada,
999,CWWO,Willow Creek - Jasper N.P. - NW of Brule,53.3856,-118.3475,4600,Brule,Alberta,Canada,
1008,CWXA,Bow Valley - SW of Seebe,51.0833,-115.0667,4259,Seebe,Alberta,Canada,
1014,CWXL,Bow Island - SE of Grassy Lake,49.7342,-111.4503,2680,Grassy Lake,Alberta,Canada,
858,CWOU,Primrose Lake 2 - NE of Cold Lake,54.7889,-110.0597,1988,Cold Lake,Alberta,Canada,
860,CWPA,Hendrickson - SE of Grande Prairie,54.7950,-118.4467,4751,Grande Prairie,Alberta,Canada,
851,CWOE,NW of Onefour,49.1231,-110.4688,3068,Onefour,Alberta,Canada,
826,CWMX,Mildred Lake SW of Embarras Portage,58.0411,-111.5589,1017,Embarras Portage,Alberta,Canada,
771,CWJW,Jasper Warden - NW of Jasper  -Jasper National Park,52.9400,-118.3200,3343,Jasper,Alberta,Canada,
790,CWLB,NW of Lac La Biche,54.7800,-112.0200,1856,Lac La Biche,Alberta,Canada,
748,CWIQ,Primrose Lake - NE of Cold Lake,54.7600,-110.0500,2303,Cold Lake,Alberta,Canada,
756,CWJA,NE of Jasper - Jasper National Park ,52.8900,-118.0700,3481,Jasper,Alberta,Canada,
652,CWDU,NW of Cop Upper,51.0900,-114.2200,4051,Cop Upper,Alberta,Canada,
643,CWDK,Claresholm Industrial Airport - SW of Claresholm ,50.0047,-113.7966,3316,Claresholm,Alberta,Canada,
631,CWCT,Coronation Airport - SE of Coronation,52.0750,-111.4452,2595,Coronation,Alberta,Canada,
597,CWAV,Sundre Airport - SE of Sundre,51.7738,-114.6783,3655,Sundre,Alberta,Canada,
600,CWBA,Banff Airport - NE of Banff,51.2083,-115.5402,4583,Banff,Alberta,Canada,
609,CWBM, SW of Beaverlodge,55.0000,-119.0000,2444,Beaverlodge,Alberta,Canada,
610,CWBO,Brook Airport - NW of Brooks,50.5502,-111.8925,2490,Brooks,Alberta,Canada,
656,CWDZ,Drumheller East - SE of Drumheller East,51.4400,-112.6700,2221,Drumheller,Alberta,Canada,
680,CWFE,Elk Island National Park - SW of Chipman,53.6900,-112.8700,2349,Chipman,Alberta,Canada,
684,CWFJ,NE of Cardston,49.2000,-113.2800,3727,Cardston,Alberta,Canada,
700,CWGF,Garden River -Wood Buffalo National Park - NE of Fox Lake  ,58.7108,-113.8664,791,Fox Lake,Alberta,Canada,
704,CWGM,Waterton Park Gate - NE of Waterton Park,49.1300,-113.8000,4251,Waterton Park,Alberta,Canada,
713,CWGW,NE of Sparwood,49.7453,-114.8861,3733,Sparwood,Alberta,Canada,
715,CWGY,Esther 1 - SE of Esther,51.6700,-110.2000,2319,Esther,Alberta,Canada,
717,CWHA,Highvale Airport - SW of Duffield,53.4600,-114.4700,2450,Dunffield,Alberta,Canada,
719,CWHE,Ellerslie - SE of Edmonton,53.4200,-113.2000,2276,Edmonton,Alberta,Canada,
721,CWHI,SE of Three Hills,51.7100,-113.2200,2972,Three Hills,Alberta,Canada,
723,CWHK,Carvel - NW of Stoney Plain,53.5606,-114.1449,0,Carvel,Alberta,Canada,
724,CWHL,Holland Rock - NW of Osland,54.1700,-130.3700,16,Osland,British Columbia,Canada,
722,CWHJ,NE of Holberg,50.6600,-128.0000,2024,Holberg,British Columbia,Canada,
718,CWHC,Vancouver Harbour - SE of Stanley Park,49.3000,-123.1300,6,Vancouver,British Columbia,Canada,
710,CWGT,Sisters Island - SE of Lasqueti,49.4864,-124.4349,9,Lasqueti,British Columbia,Canada,
707,CWGP,Pemberton Airport - SE of Pemberton,50.3000,-122.7378,669,Pemberton,British Columbia,Canada,
692,CWFR,Horsefly River - NE of Black Creek,52.2900,-121.0500,2775,Black Creek,British Columbia,Canada,
698,CWGB,Ballenas Island - NE of Parksville,49.3500,-124.1700,16,Parksville,British Columbia,Canada,
686,CWFM,Chatham Point Lighthouse - NE of Rock Bay,50.3400,-125.4400,75,Rock Bay,British Columbia,Canada,
